X;Y;Z
-0.00000762;0.00000646;-0.00016624
-0.00000759;0.00000667;-0.00016620
-0.00000759;0.00000678;-0.00016628
-0.00000762;0.00000677;-0.00016631
-0.00000762;0.00000661;-0.00016624
-0.00000758;0.00000649;-0.00016636
-0.00000747;0.00000631;-0.00016650
-0.00000738;0.00000625;-0.00016652
-0.00000733;0.00000625;-0.00016654
-0.00000725;0.00000631;-0.00016659
-0.00000725;0.00000642;-0.00016656
-0.00000722;0.00000655;-0.00016644
-0.00000725;0.00000666;-0.00016643
-0.00000727;0.00000661;-0.00016638
-0.00000743;0.00000647;-0.00016616
-0.00000755;0.00000638;-0.00016603
-0.00000769;0.00000638;-0.00016602
-0.00000781;0.00000650;-0.00016590
-0.00000789;0.00000663;-0.00016575
-0.00000789;0.00000679;-0.00016579
-0.00000796;0.00000685;-0.00016578
-0.00000801;0.00000695;-0.00016566
-0.00000808;0.00000710;-0.00016564
-0.00000808;0.00000726;-0.00016575
-0.00000802;0.00000733;-0.00016572
-0.00000798;0.00000739;-0.00016572
-0.00000793;0.00000749;-0.00016584
-0.00000790;0.00000755;-0.00016588
-0.00000789;0.00000762;-0.00016576
-0.00000797;0.00000762;-0.00016574
-0.00000797;0.00000758;-0.00016576
-0.00000796;0.00000755;-0.00016574
-0.00000784;0.00000761;-0.00016583
-0.00000771;0.00000770;-0.00016604
-0.00000763;0.00000773;-0.00016606
-0.00000761;0.00000775;-0.00016602
-0.00000754;0.00000774;-0.00016614
-0.00000746;0.00000770;-0.00016627
-0.00000735;0.00000763;-0.00016628
-0.00000722;0.00000758;-0.00016635
-0.00000725;0.00000755;-0.00016643
-0.00000726;0.00000757;-0.00016635
-0.00000726;0.00000769;-0.00016630
-0.00000731;0.00000790;-0.00016634
-0.00000734;0.00000806;-0.00016632
-0.00000734;0.00000817;-0.00016624
-0.00000735;0.00000806;-0.00016631
-0.00000727;0.00000790;-0.00016640
-0.00000722;0.00000784;-0.00016642
-0.00000711;0.00000790;-0.00016648
-0.00000705;0.00000805;-0.00016663
-0.00000702;0.00000825;-0.00016660
-0.00000710;0.00000841;-0.00016650
-0.00000713;0.00000854;-0.00016647
-0.00000718;0.00000860;-0.00016647
-0.00000722;0.00000861;-0.00016634
-0.00000722;0.00000856;-0.00016632
-0.00000722;0.00000848;-0.00016632
-0.00000723;0.00000848;-0.00016620
-0.00000719;0.00000856;-0.00016608
-0.00000719;0.00000869;-0.00016610
-0.00000718;0.00000888;-0.00016610
-0.00000717;0.00000905;-0.00016602
-0.00000711;0.00000918;-0.00016608
-0.00000707;0.00000922;-0.00016610
-0.00000709;0.00000921;-0.00016596
-0.00000713;0.00000920;-0.00016578
-0.00000718;0.00000925;-0.00016567
-0.00000721;0.00000937;-0.00016543
-0.00000733;0.00000952;-0.00016514
-0.00000734;0.00000962;-0.00016498
-0.00000738;0.00000972;-0.00016482
-0.00000741;0.00000976;-0.00016455
-0.00000739;0.00000982;-0.00016440
-0.00000738;0.00000989;-0.00016432
-0.00000741;0.00000992;-0.00016405
-0.00000742;0.00001005;-0.00016380
-0.00000745;0.00001024;-0.00016371
-0.00000741;0.00001042;-0.00016361
-0.00000737;0.00001062;-0.00016341
-0.00000737;0.00001074;-0.00016329
-0.00000738;0.00001081;-0.00016319
-0.00000749;0.00001088;-0.00016293
-0.00000754;0.00001104;-0.00016272
-0.00000769;0.00001120;-0.00016259
-0.00000785;0.00001137;-0.00016232
-0.00000801;0.00001156;-0.00016196
-0.00000818;0.00001177;-0.00016179
-0.00000832;0.00001199;-0.00016164
-0.00000840;0.00001220;-0.00016141
-0.00000849;0.00001241;-0.00016125
-0.00000854;0.00001253;-0.00016119
-0.00000869;0.00001267;-0.00016092
-0.00000889;0.00001287;-0.00016065
-0.00000916;0.00001304;-0.00016052
-0.00000936;0.00001323;-0.00016033
-0.00000961;0.00001333;-0.00016002
-0.00000990;0.00001345;-0.00015978
-0.00001014;0.00001355;-0.00015964
-0.00001037;0.00001363;-0.00015936
-0.00001054;0.00001372;-0.00015913
-0.00001072;0.00001379;-0.00015905
-0.00001084;0.00001389;-0.00015889
-0.00001105;0.00001397;-0.00015862
-0.00001129;0.00001403;-0.00015848
-0.00001148;0.00001401;-0.00015832
-0.00001165;0.00001404;-0.00015806
-0.00001189;0.00001407;-0.00015792
-0.00001203;0.00001403;-0.00015778
-0.00001225;0.00001401;-0.00015759
-0.00001243;0.00001401;-0.00015737
-0.00001256;0.00001405;-0.00015734
-0.00001261;0.00001408;-0.00015723
-0.00001268;0.00001407;-0.00015702
-0.00001273;0.00001399;-0.00015687
-0.00001285;0.00001391;-0.00015681
-0.00001304;0.00001389;-0.00015662
-0.00001323;0.00001396;-0.00015653
-0.00001341;0.00001399;-0.00015651
-0.00001356;0.00001397;-0.00015639
-0.00001365;0.00001391;-0.00015615
-0.00001363;0.00001384;-0.00015611
-0.00001371;0.00001395;-0.00015619
-0.00001373;0.00001408;-0.00015610
-0.00001380;0.00001418;-0.00015611
-0.00001377;0.00001420;-0.00015609
-0.00001375;0.00001414;-0.00015595
-0.00001395;0.00001415;-0.00015582
-0.00001416;0.00001415;-0.00015585
-0.00001438;0.00001423;-0.00015585
-0.00001452;0.00001432;-0.00015577
-0.00001459;0.00001439;-0.00015581
-0.00001466;0.00001439;-0.00015583
-0.00001464;0.00001428;-0.00015567
-0.00001467;0.00001414;-0.00015549
-0.00001468;0.00001395;-0.00015538
-0.00001474;0.00001375;-0.00015521
-0.00001484;0.00001359;-0.00015498
-0.00001487;0.00001347;-0.00015487
-0.00001488;0.00001341;-0.00015482
-0.00001492;0.00001332;-0.00015475
-0.00001500;0.00001324;-0.00015468
-0.00001512;0.00001312;-0.00015470
-0.00001532;0.00001305;-0.00015462
-0.00001556;0.00001307;-0.00015458
-0.00001576;0.00001319;-0.00015471
-0.00001590;0.00001333;-0.00015485
-0.00001595;0.00001352;-0.00015487
-0.00001600;0.00001353;-0.00015490
-0.00001599;0.00001348;-0.00015494
-0.00001594;0.00001335;-0.00015474
-0.00001583;0.00001321;-0.00015459
-0.00001575;0.00001301;-0.00015455
-0.00001562;0.00001287;-0.00015444
-0.00001560;0.00001277;-0.00015430
-0.00001562;0.00001273;-0.00015431
-0.00001560;0.00001277;-0.00015435
-0.00001554;0.00001280;-0.00015428
-0.00001548;0.00001284;-0.00015426
-0.00001539;0.00001276;-0.00015427
-0.00001532;0.00001264;-0.00015415
-0.00001530;0.00001256;-0.00015400
-0.00001520;0.00001248;-0.00015402
-0.00001524;0.00001233;-0.00015395
-0.00001550;0.00001207;-0.00015380
-0.00001588;0.00001180;-0.00015375
-0.00001632;0.00001165;-0.00015386
-0.00001676;0.00001159;-0.00015384
-0.00001708;0.00001156;-0.00015386
-0.00001729;0.00001156;-0.00015395
-0.00001739;0.00001151;-0.00015394
-0.00001746;0.00001137;-0.00015379
-0.00001758;0.00001117;-0.00015371
-0.00001766;0.00001085;-0.00015360
-0.00001786;0.00001041;-0.00015340
-0.00001809;0.00000992;-0.00015332
-0.00001831;0.00000941;-0.00015334
-0.00001843;0.00000892;-0.00015322
-0.00001853;0.00000845;-0.00015307
-0.00001855;0.00000808;-0.00015308
-0.00001857;0.00000779;-0.00015310
-0.00001866;0.00000775;-0.00015303
-0.00001870;0.00000785;-0.00015310
-0.00001869;0.00000800;-0.00015316
-0.00001857;0.00000816;-0.00015304
-0.00001851;0.00000821;-0.00015298
-0.00001853;0.00000818;-0.00015307
-0.00001866;0.00000809;-0.00015312
-0.00001891;0.00000804;-0.00015310
-0.00001902;0.00000808;-0.00015315
-0.00001899;0.00000824;-0.00015319
-0.00001890;0.00000845;-0.00015311
-0.00001887;0.00000865;-0.00015310
-0.00001887;0.00000884;-0.00015323
-0.00001889;0.00000904;-0.00015322
-0.00001883;0.00000917;-0.00015310
-0.00001862;0.00000912;-0.00015300
-0.00001829;0.00000890;-0.00015286
-0.00001807;0.00000865;-0.00015263
-0.00001809;0.00000853;-0.00015263
-0.00001821;0.00000854;-0.00015275
-0.00001831;0.00000872;-0.00015276
-0.00001834;0.00000886;-0.00015272
-0.00001829;0.00000897;-0.00015275
-0.00001814;0.00000904;-0.00015268
-0.00001807;0.00000908;-0.00015255
-0.00001807;0.00000916;-0.00015252
-0.00001794;0.00000917;-0.00015244
-0.00001785;0.00000905;-0.00015228
-0.00001778;0.00000889;-0.00015214
-0.00001785;0.00000881;-0.00015219
